S_schenckii_Gene	S_brasiliensis_Ortholog	Category	S_schenckii_Product	S_brasiliensis_Product
gene-SPSK_02154	NONE	S_schenckii_Specific	phospholipid-translocating ATPase	N/A
gene-SPSK_10056	NONE	S_schenckii_Specific	uncharacterized protein	N/A
gene-SPSK_10479	NONE	S_schenckii_Specific	uncharacterized protein	N/A
gene-SPSK_10482	NONE	S_schenckii_Specific	uncharacterized protein	N/A
gene-SPSK_10485	NONE	S_schenckii_Specific	uncharacterized protein	N/A
gene-SPSK_10494	NONE	S_schenckii_Specific	uncharacterized protein	N/A
gene-SPSK_10496	NONE	S_schenckii_Specific	uncharacterized protein	N/A
gene-SPSK_10965	NONE	S_schenckii_Specific	uncharacterized protein	N/A
gene-SPSK_10966	NONE	S_schenckii_Specific	short-chain dehydrogenase/reductase family protein	N/A
gene-SPSK_10976	NONE	S_schenckii_Specific	uncharacterized protein	N/A
gene-SPSK_11020	NONE	S_schenckii_Specific	glutaredoxin domain protein	N/A
